SZC_6_AUD_0 , Nie , Nie , Tak , średnia , dobra , dobra , średnia
SZC_6_AUD_0 , Tak , Nie , Nie , słaba , średnia , średnia , średnia
SZC_6_AUD_0 , Tak , Nie , Nie , słaba , zła , dobra , zła
SZC_6_AUD_0 , Tak , Nie , Nie , średnia , doskonała , doskonała , doskonała
SZC_6_AUD_0 , Nie , Tak , Nie , słaba , słaba , zła , doskonała
SZC_6_AUD_0 , Nie , Tak , Tak , doskonała , doskonała , słaba , dobra
SZC_6_AUD_0 , Nie , Nie , Nie , zła , zła , słaba , zła
SZC_6_AUD_0 , Nie , Nie , Tak , słaba , słaba , zła , dobra
SZC_6_AUD_0 , Nie , Nie , Tak , doskonała , zła , słaba , dobra
SZC_6_AUD_0 , Nie , Tak , Tak , średnia , dobra , słaba , średnia
SZC_6_AUD_0 , Tak , Tak , Tak , średnia , średnia , doskonała , zła
SZC_6_AUD_0 , Tak , Nie , Nie , doskonała , zła , średnia , zła
SZC_6_AUD_0 , Nie , Nie , Tak , doskonała , słaba , doskonała , słaba
SZC_6_AUD_0 , Tak , Tak , Tak , słaba , średnia , średnia , średnia
WRO_8_AUD_1 , Tak , Tak , Tak , zła , zła , słaba , słaba
WRO_8_AUD_1 , Tak , Nie , Tak , zła , doskonała , średnia , średnia
WRO_8_AUD_1 , Nie , Nie , Tak , dobra , dobra , doskonała , dobra
WRO_8_AUD_1 , Tak , Tak , Tak , zła , dobra , średnia , zła
WRO_8_AUD_1 , Nie , Tak , Nie , dobra , dobra , słaba , doskonała
WRO_8_AUD_1 , Nie , Tak , Nie , doskonała , słaba , zła , doskonała
WRO_8_AUD_1 , Nie , Tak , Tak , słaba , doskonała , słaba , zła
WRO_8_AUD_1 , Nie , Nie , Nie , słaba , średnia , słaba , słaba
WRO_8_AUD_1 , Tak , Nie , Nie , doskonała , zła , dobra , zła
WRO_8_AUD_1 , Nie , Tak , Nie , doskonała , średnia , dobra , zła
WRO_8_AUD_1 , Nie , Tak , Tak , zła , dobra , doskonała , dobra
WRO_8_AUD_1 , Tak , Tak , Tak , średnia , doskonała , dobra , słaba
WRO_8_AUD_1 , Nie , Nie , Tak , doskonała , doskonała , doskonała , słaba
WRO_8_AUD_1 , Tak , Tak , Tak , doskonała , doskonała , słaba , słaba
WRO_8_AUD_1 , Tak , Tak , Nie , doskonała , dobra , słaba , dobra
WRO_8_AUD_1 , Tak , Nie , Nie , słaba , słaba , średnia , zła
WRO_8_AUD_1 , Tak , Nie , Nie , słaba , doskonała , zła , doskonała
WRO_8_AUD_1 , Nie , Nie , Nie , doskonała , słaba , doskonała , doskonała
WRO_8_AUD_1 , Nie , Nie , Tak , słaba , średnia , słaba , średnia
WRO_8_AUD_1 , Tak , Nie , Nie , średnia , doskonała , doskonała , słaba
WRO_8_AUD_1 , Tak , Nie , Nie , dobra , doskonała , doskonała , dobra
WRO_8_AUD_1 , Tak , Nie , Nie , średnia , dobra , dobra , dobra
WRO_8_AUD_1 , Tak , Tak , Tak , zła , doskonała , doskonała , słaba
WRO_8_AUD_1 , Tak , Nie , Tak , doskonała , dobra , słaba , słaba
WRO_8_AUD_1 , Tak , Nie , Nie , zła , dobra , zła , dobra
WRO_8_AUD_1 , Nie , Tak , Tak , średnia , doskonała , doskonała , średnia
WRO_8_AUD_1 , Nie , Tak , Tak , słaba , zła , zła , słaba
WRO_8_AUD_1 , Tak , Tak , Tak , dobra , zła , dobra , zła
WRO_8_AUD_1 , Tak , Tak , Tak , słaba , średnia , średnia , zła
WRO_8_AUD_1 , Tak , Nie , Tak , zła , słaba , doskonała , średnia
WRO_8_AUD_2 , Nie , Nie , Nie , słaba , doskonała , średnia , średnia
WRO_8_AUD_2 , Tak , Nie , Tak , słaba , zła , słaba , dobra
WRO_8_AUD_2 , Nie , Tak , Tak , zła , zła , słaba , doskonała
WRO_8_AUD_2 , Tak , Tak , Tak , średnia , zła , średnia , doskonała
WRO_8_AUD_2 , Tak , Tak , Nie , słaba , doskonała , słaba , doskonała
WRO_8_AUD_2 , Nie , Nie , Tak , zła , zła , doskonała , dobra
WRO_8_AUD_2 , Tak , Nie , Nie , słaba , średnia , doskonała , średnia
WRO_8_AUD_2 , Tak , Tak , Tak , słaba , dobra , doskonała , zła
WRO_8_AUD_2 , Tak , Tak , Tak , słaba , słaba , średnia , dobra
WRO_8_AUD_2 , Tak , Tak , Tak , doskonała , słaba , dobra , średnia
WRO_8_AUD_2 , Tak , Tak , Tak , dobra , średnia , dobra , doskonała
POZ_7_AUD_3 , Nie , Tak , Nie , średnia , dobra , dobra , słaba
POZ_7_AUD_3 , Nie , Tak , Nie , średnia , słaba , dobra , średnia
POZ_7_AUD_3 , Nie , Tak , Tak , słaba , średnia , średnia , doskonała
POZ_7_AUD_3 , Tak , Nie , Tak , średnia , średnia , średnia , doskonała
POZ_7_AUD_3 , Tak , Tak , Tak , doskonała , średnia , słaba , doskonała
POZ_7_AUD_3 , Nie , Tak , Nie , zła , zła , słaba , średnia
POZ_7_AUD_3 , Tak , Tak , Nie , doskonała , doskonała , dobra , dobra
POZ_7_AUD_3 , Tak , Tak , Tak , średnia , doskonała , doskonała , dobra
POZ_7_AUD_3 , Tak , Nie , Tak , średnia , dobra , dobra , zła
POZ_7_AUD_3 , Tak , Nie , Tak , dobra , słaba , doskonała , zła
POZ_7_AUD_3 , Tak , Tak , Nie , średnia , słaba , doskonała , doskonała
POZ_7_AUD_3 , Nie , Nie , Nie , średnia , dobra , słaba , doskonała
POZ_7_AUD_3 , Nie , Tak , Nie , dobra , słaba , zła , słaba
POZ_7_AUD_3 , Tak , Nie , Nie , dobra , doskonała , zła , średnia
POZ_7_AUD_3 , Tak , Nie , Tak , doskonała , średnia , zła , słaba
POZ_7_AUD_3 , Nie , Nie , Nie , średnia , średnia , średnia , słaba
POZ_7_AUD_3 , Nie , Tak , Nie , średnia , średnia , średnia , słaba
POZ_7_AUD_3 , Tak , Nie , Tak , doskonała , doskonała , słaba , doskonała
POZ_7_AUD_3 , Tak , Nie , Tak , średnia , dobra , zła , doskonała
POZ_7_AUD_3 , Tak , Tak , Nie , słaba , dobra , doskonała , dobra
POZ_7_AUD_3 , Tak , Tak , Tak , słaba , dobra , zła , słaba
POZ_7_AUD_3 , Tak , Nie , Nie , zła , średnia , słaba , doskonała
POZ_7_AUD_3 , Nie , Nie , Tak , zła , doskonała , dobra , dobra
POZ_7_AUD_3 , Tak , Nie , Tak , dobra , słaba , zła , doskonała
POZ_7_AUD_3 , Tak , Nie , Nie , zła , dobra , dobra , słaba
POZ_7_AUD_3 , Nie , Nie , Tak , średnia , dobra , dobra , średnia
POZ_7_AUD_3 , Tak , Tak , Nie , średnia , doskonała , dobra , średnia
POZ_7_AUD_3 , Tak , Nie , Tak , słaba , zła , średnia , zła
POZ_7_AUD_3 , Nie , Tak , Tak , słaba , zła , doskonała , średnia
POZ_7_AUD_3 , Nie , Nie , Tak , dobra , doskonała , słaba , słaba
SZC_6_AUD_4 , Tak , Nie , Nie , zła , słaba , dobra , doskonała
SZC_6_AUD_4 , Tak , Nie , Nie , zła , doskonała , słaba , średnia
SZC_6_AUD_4 , Nie , Nie , Nie , zła , słaba , zła , doskonała
SZC_6_AUD_4 , Tak , Nie , Tak , dobra , doskonała , słaba , średnia
SZC_6_AUD_4 , Tak , Tak , Nie , średnia , doskonała , średnia , doskonała
SZC_6_AUD_4 , Tak , Nie , Nie , średnia , słaba , słaba , zła
SZC_6_AUD_5 , Tak , Tak , Nie , słaba , dobra , średnia , dobra
SZC_6_AUD_5 , Tak , Nie , Tak , słaba , słaba , zła , dobra
SZC_6_AUD_5 , Nie , Nie , Nie , doskonała , zła , słaba , dobra
SZC_6_AUD_5 , Nie , Tak , Tak , doskonała , słaba , zła , słaba
SZC_6_AUD_5 , Tak , Nie , Nie , średnia , średnia , dobra , doskonała
SZC_6_AUD_5 , Tak , Nie , Tak , zła , zła , dobra , średnia
SZC_6_AUD_5 , Tak , Tak , Nie , doskonała , doskonała , zła , słaba
SZC_6_AUD_5 , Nie , Tak , Nie , słaba , średnia , doskonała , doskonała
SZC_6_AUD_5 , Nie , Tak , Tak , doskonała , dobra , słaba , słaba
SZC_6_AUD_5 , Tak , Nie , Nie , dobra , słaba , średnia , zła
SZC_6_AUD_5 , Nie , Tak , Nie , średnia , dobra , średnia , średnia
SZC_6_AUD_5 , Nie , Tak , Nie , średnia , dobra , dobra , średnia
SZC_6_AUD_5 , Tak , Tak , Tak , średnia , doskonała , dobra , średnia
SZC_6_AUD_5 , Tak , Tak , Nie , dobra , doskonała , dobra , doskonała
SZC_6_AUD_5 , Tak , Nie , Nie , doskonała , średnia , średnia , słaba
SZC_6_AUD_5 , Tak , Nie , Tak , doskonała , dobra , dobra , dobra
SZC_6_AUD_5 , Tak , Nie , Nie , średnia , średnia , średnia , dobra
SZC_6_AUD_5 , Nie , Nie , Tak , doskonała , słaba , doskonała , średnia
SZC_6_AUD_5 , Tak , Tak , Tak , zła , średnia , dobra , średnia
SZC_6_AUD_5 , Tak , Nie , Tak , doskonała , doskonała , średnia , średnia
SZC_6_AUD_5 , Nie , Nie , Tak , dobra , średnia , średnia , doskonała
SZC_6_AUD_5 , Tak , Tak , Tak , średnia , dobra , słaba , średnia
WRO_8_AUD_6 , Nie , Nie , Tak , doskonała , średnia , słaba , zła
WRO_8_AUD_6 , Tak , Tak , Nie , doskonała , doskonała , średnia , średnia
WRO_8_AUD_6 , Tak , Tak , Tak , doskonała , doskonała , doskonała , średnia
WRO_8_AUD_6 , Nie , Nie , Tak , doskonała , doskonała , średnia , słaba
WRO_8_AUD_6 , Tak , Nie , Tak , średnia , średnia , zła , średnia
WRO_8_AUD_6 , Tak , Nie , Tak , średnia , dobra , średnia , zła
WRO_8_AUD_6 , Nie , Tak , Tak , dobra , dobra , zła , dobra
WRO_8_AUD_6 , Tak , Nie , Tak , słaba , dobra , słaba , dobra
WRO_8_AUD_6 , Tak , Nie , Nie , średnia , dobra , doskonała , doskonała
WRO_8_AUD_6 , Nie , Tak , Nie , dobra , słaba , doskonała , zła
WRO_8_AUD_6 , Nie , Nie , Tak , zła , średnia , średnia , zła
WRO_8_AUD_6 , Tak , Nie , Tak , średnia , średnia , słaba , średnia
WRO_8_AUD_6 , Nie , Nie , Tak , słaba , słaba , średnia , średnia
WRO_8_AUD_6 , Tak , Nie , Tak , doskonała , doskonała , doskonała , doskonała
WRO_8_AUD_6 , Tak , Tak , Nie , zła , dobra , dobra , doskonała
WRO_8_AUD_6 , Nie , Tak , Tak , słaba , zła , słaba , zła
WRO_8_AUD_6 , Nie , Nie , Tak , słaba , doskonała , doskonała , średnia
WRO_8_AUD_6 , Tak , Nie , Nie , słaba , zła , słaba , dobra
WRO_8_AUD_6 , Nie , Nie , Tak , doskonała , słaba , słaba , zła
WRO_8_AUD_6 , Nie , Tak , Nie , dobra , średnia , zła , słaba
WRO_8_AUD_6 , Nie , Tak , Tak , dobra , średnia , dobra , doskonała
WRO_8_AUD_6 , Nie , Nie , Nie , średnia , dobra , dobra , zła
WRO_8_AUD_6 , Tak , Nie , Tak , zła , dobra , słaba , średnia
GDA_2_AUD_7 , Tak , Nie , Tak , dobra , dobra , słaba , doskonała
GDA_2_AUD_7 , Nie , Nie , Nie , średnia , zła , słaba , dobra
GDA_2_AUD_7 , Tak , Tak , Nie , zła , średnia , doskonała , średnia
GDA_2_AUD_7 , Nie , Tak , Nie , słaba , słaba , doskonała , dobra
GDA_2_AUD_7 , Tak , Nie , Nie , średnia , doskonała , słaba , słaba
GDA_2_AUD_7 , Nie , Tak , Nie , średnia , doskonała , średnia , dobra
GDA_2_AUD_7 , Nie , Tak , Tak , dobra , średnia , dobra , dobra
GDA_2_AUD_7 , Tak , Nie , Tak , dobra , zła , dobra , dobra
GDA_2_AUD_7 , Nie , Nie , Tak , dobra , dobra , słaba , zła
GDA_2_AUD_7 , Nie , Nie , Tak , doskonała , dobra , doskonała , zła
GDA_2_AUD_7 , Nie , Nie , Nie , słaba , zła , zła , doskonała
GDA_2_AUD_7 , Tak , Tak , Tak , doskonała , dobra , średnia , dobra
GDA_2_AUD_7 , Nie , Tak , Nie , doskonała , średnia , zła , średnia
GDA_2_AUD_7 , Tak , Tak , Nie , słaba , doskonała , doskonała , słaba
GDA_2_AUD_7 , Nie , Nie , Tak , zła , średnia , słaba , średnia
GDA_2_AUD_7 , Nie , Nie , Tak , słaba , słaba , słaba , dobra
GDA_2_AUD_7 , Nie , Nie , Tak , zła , doskonała , zła , zła
GDA_2_AUD_7 , Tak , Nie , Tak , średnia , dobra , średnia , zła
GDA_2_AUD_7 , Nie , Nie , Tak , dobra , doskonała , dobra , słaba
GDA_2_AUD_7 , Nie , Tak , Tak , średnia , słaba , zła , średnia
GDA_2_AUD_7 , Tak , Tak , Tak , dobra , zła , zła , doskonała
WAW_1_AUD_8 , Tak , Nie , Nie , dobra , doskonała , średnia , dobra
WAW_1_AUD_8 , Nie , Tak , Nie , średnia , zła , doskonała , dobra
WAW_1_AUD_8 , Nie , Tak , Nie , średnia , średnia , dobra , średnia
WAW_1_AUD_8 , Tak , Tak , Nie , dobra , słaba , doskonała , zła
WAW_1_AUD_8 , Tak , Tak , Nie , słaba , zła , zła , słaba
WAW_1_AUD_8 , Tak , Tak , Nie , słaba , słaba , zła , dobra
WAW_1_AUD_8 , Nie , Tak , Tak , słaba , dobra , słaba , średnia
WAW_1_AUD_8 , Nie , Nie , Tak , słaba , słaba , zła , dobra
WAW_1_AUD_8 , Tak , Tak , Tak , słaba , średnia , średnia , doskonała
WAW_1_AUD_8 , Tak , Tak , Tak , doskonała , średnia , zła , średnia
WAW_1_AUD_8 , Tak , Tak , Nie , doskonała , doskonała , dobra , dobra
WAW_1_AUD_8 , Nie , Tak , Nie , dobra , słaba , zła , dobra
KRK_4_AUD_9 , Tak , Nie , Tak , słaba , słaba , słaba , dobra
KRK_4_AUD_9 , Tak , Tak , Tak , dobra , średnia , słaba , doskonała
KRK_4_AUD_9 , Tak , Nie , Tak , dobra , dobra , słaba , zła
KRK_4_AUD_9 , Nie , Nie , Tak , słaba , zła , dobra , średnia
KRK_4_AUD_9 , Tak , Nie , Tak , dobra , doskonała , dobra , dobra
KRK_4_AUD_9 , Tak , Nie , Nie , doskonała , doskonała , dobra , doskonała
KRK_4_AUD_9 , Nie , Tak , Nie , dobra , doskonała , słaba , zła
KRK_4_AUD_9 , Nie , Nie , Tak , słaba , średnia , średnia , średnia
KRK_4_AUD_9 , Nie , Tak , Nie , średnia , dobra , słaba , zła
KRK_4_AUD_9 , Tak , Nie , Tak , średnia , słaba , zła , słaba
KRK_4_AUD_9 , Nie , Nie , Nie , słaba , słaba , dobra , zła
KRK_4_AUD_9 , Tak , Tak , Nie , słaba , doskonała , słaba , doskonała
KRK_4_AUD_9 , Tak , Tak , Tak , zła , średnia , średnia , doskonała
KRK_4_AUD_9 , Tak , Nie , Nie , średnia , słaba , średnia , słaba
KRK_4_AUD_9 , Nie , Nie , Tak , zła , średnia , słaba , dobra
KRK_4_AUD_9 , Nie , Tak , Tak , dobra , doskonała , dobra , słaba
KRK_4_AUD_9 , Tak , Tak , Tak , słaba , słaba , słaba , słaba
KRK_4_AUD_9 , Tak , Tak , Nie , doskonała , dobra , dobra , doskonała
KRK_4_AUD_9 , Tak , Tak , Nie , dobra , średnia , doskonała , dobra
KRK_4_AUD_9 , Nie , Nie , Tak , średnia , doskonała , zła , zła
KRK_4_AUD_9 , Nie , Tak , Tak , średnia , dobra , doskonała , zła
KRK_4_AUD_9 , Tak , Nie , Nie , średnia , doskonała , dobra , dobra
KRK_4_AUD_9 , Nie , Nie , Tak , zła , słaba , średnia , doskonała
KRK_4_AUD_9 , Nie , Nie , Nie , zła , średnia , doskonała , zła
KRK_4_AUD_9 , Tak , Nie , Tak , zła , doskonała , słaba , średnia
KRK_4_AUD_9 , Tak , Nie , Tak , słaba , słaba , słaba , dobra
KRK_4_AUD_9 , Tak , Tak , Nie , dobra , słaba , doskonała , dobra
KRK_4_AUD_9 , Tak , Nie , Tak , średnia , dobra , zła , słaba
POZ_7_AUD_10 , Nie , Tak , Nie , doskonała , dobra , doskonała , doskonała
POZ_7_AUD_10 , Nie , Tak , Tak , dobra , średnia , średnia , dobra
POZ_7_AUD_10 , Tak , Tak , Tak , średnia , słaba , zła , zła
POZ_7_AUD_10 , Nie , Nie , Tak , dobra , zła , doskonała , średnia
POZ_7_AUD_10 , Tak , Nie , Nie , dobra , słaba , średnia , doskonała
POZ_7_AUD_10 , Tak , Tak , Tak , słaba , doskonała , doskonała , zła
POZ_7_AUD_10 , Tak , Tak , Tak , średnia , doskonała , średnia , dobra
POZ_7_AUD_10 , Tak , Tak , Nie , słaba , zła , zła , dobra
POZ_7_AUD_10 , Tak , Tak , Tak , słaba , słaba , zła , średnia
POZ_7_AUD_10 , Tak , Nie , Tak , średnia , słaba , dobra , dobra
POZ_7_AUD_10 , Nie , Nie , Nie , słaba , zła , zła , słaba
POZ_7_AUD_10 , Tak , Nie , Nie , słaba , zła , dobra , doskonała
POZ_7_AUD_10 , Nie , Tak , Nie , zła , zła , doskonała , słaba
POZ_7_AUD_10 , Nie , Tak , Tak , średnia , dobra , słaba , dobra
POZ_7_AUD_10 , Nie , Tak , Nie , doskonała , zła , słaba , zła
SZC_6_AUD_11 , Nie , Tak , Nie , doskonała , zła , zła , zła
SZC_6_AUD_11 , Nie , Nie , Tak , słaba , dobra , średnia , słaba
SZC_6_AUD_11 , Nie , Tak , Tak , zła , doskonała , dobra , średnia
SZC_6_AUD_11 , Nie , Nie , Nie , średnia , zła , słaba , zła
SZC_6_AUD_11 , Nie , Nie , Tak , zła , zła , dobra , słaba
SZC_6_AUD_11 , Tak , Tak , Nie , zła , zła , średnia , słaba
SZC_6_AUD_11 , Tak , Tak , Tak , słaba , dobra , doskonała , dobra
SZC_6_AUD_11 , Nie , Tak , Tak , doskonała , dobra , średnia , średnia
SZC_6_AUD_11 , Nie , Nie , Tak , słaba , doskonała , zła , doskonała
SZC_6_AUD_11 , Tak , Nie , Nie , doskonała , dobra , słaba , średnia
SZC_6_AUD_11 , Tak , Nie , Tak , zła , średnia , dobra , dobra
SZC_6_AUD_11 , Tak , Nie , Tak , dobra , zła , słaba , dobra
SZC_6_AUD_11 , Nie , Tak , Tak , doskonała , średnia , zła , słaba
SZC_6_AUD_11 , Nie , Nie , Tak , dobra , średnia , doskonała , doskonała
SZC_6_AUD_11 , Nie , Tak , Nie , średnia , dobra , słaba , średnia
SZC_6_AUD_11 , Nie , Nie , Tak , dobra , słaba , zła , dobra
SZC_6_AUD_11 , Nie , Tak , Nie , dobra , średnia , średnia , zła
SZC_6_AUD_11 , Tak , Nie , Nie , średnia , zła , zła , doskonała
SZC_6_AUD_11 , Nie , Nie , Tak , zła , zła , słaba , dobra
SZC_6_AUD_11 , Nie , Tak , Tak , zła , średnia , dobra , słaba
SZC_6_AUD_11 , Nie , Nie , Nie , dobra , średnia , słaba , średnia
SZC_6_AUD_11 , Tak , Tak , Tak , słaba , słaba , zła , słaba
SZC_6_AUD_11 , Nie , Tak , Nie , zła , średnia , dobra , średnia
WAW_1_AUD_12 , Nie , Nie , Tak , doskonała , zła , słaba , zła
WAW_1_AUD_12 , Nie , Nie , Nie , dobra , słaba , słaba , doskonała
WAW_1_AUD_12 , Nie , Nie , Nie , dobra , średnia , doskonała , słaba
WAW_1_AUD_12 , Nie , Tak , Tak , średnia , zła , słaba , dobra
WAW_1_AUD_12 , Nie , Tak , Nie , zła , dobra , średnia , dobra
WAW_1_AUD_12 , Tak , Nie , Nie , doskonała , zła , średnia , słaba
WAW_1_AUD_12 , Nie , Tak , Nie , słaba , zła , słaba , dobra
WAW_1_AUD_12 , Tak , Tak , Tak , średnia , średnia , dobra , doskonała
WAW_1_AUD_12 , Nie , Tak , Nie , dobra , zła , doskonała , doskonała
WAW_1_AUD_12 , Nie , Nie , Nie , zła , doskonała , średnia , słaba
WAW_1_AUD_12 , Nie , Nie , Nie , średnia , doskonała , średnia , średnia
WAW_1_AUD_12 , Tak , Tak , Nie , zła , doskonała , słaba , dobra
WAW_1_AUD_12 , Nie , Nie , Nie , średnia , zła , średnia , słaba
WAW_1_AUD_12 , Tak , Tak , Tak , doskonała , zła , średnia , średnia
WAW_1_AUD_12 , Nie , Tak , Nie , słaba , średnia , słaba , doskonała
WRO_8_AUD_13 , Nie , Tak , Nie , dobra , doskonała , dobra , zła
WRO_8_AUD_13 , Nie , Tak , Tak , zła , doskonała , dobra , doskonała
WRO_8_AUD_13 , Tak , Nie , Nie , średnia , dobra , doskonała , średnia
WRO_8_AUD_13 , Tak , Tak , Nie , słaba , słaba , słaba , zła
WRO_8_AUD_13 , Nie , Nie , Tak , doskonała , doskonała , dobra , dobra
WRO_8_AUD_13 , Tak , Nie , Tak , dobra , dobra , słaba , średnia
WRO_8_AUD_13 , Nie , Nie , Tak , słaba , dobra , średnia , średnia
WRO_8_AUD_13 , Nie , Tak , Tak , zła , średnia , doskonała , zła
WRO_8_AUD_13 , Tak , Nie , Tak , dobra , dobra , zła , zła
WRO_8_AUD_13 , Nie , Tak , Tak , słaba , zła , doskonała , dobra
WRO_8_AUD_13 , Nie , Nie , Nie , doskonała , średnia , doskonała , doskonała
WRO_8_AUD_13 , Tak , Tak , Tak , zła , dobra , średnia , dobra
WRO_8_AUD_13 , Nie , Nie , Tak , dobra , dobra , doskonała , zła
WRO_8_AUD_13 , Nie , Tak , Tak , dobra , dobra , słaba , zła
WRO_8_AUD_13 , Nie , Nie , Tak , słaba , dobra , słaba , słaba
WRO_8_AUD_13 , Nie , Nie , Tak , doskonała , słaba , doskonała , zła
WRO_8_AUD_13 , Nie , Tak , Nie , doskonała , doskonała , zła , dobra
WRO_8_AUD_13 , Nie , Nie , Nie , średnia , zła , zła , średnia
WRO_8_AUD_13 , Tak , Tak , Tak , słaba , średnia , słaba , słaba
WRO_8_AUD_13 , Tak , Nie , Nie , słaba , doskonała , zła , dobra
WRO_8_AUD_13 , Tak , Tak , Nie , dobra , słaba , słaba , zła
WRO_8_AUD_13 , Tak , Nie , Nie , średnia , doskonała , dobra , dobra
WRO_8_AUD_13 , Nie , Nie , Nie , doskonała , doskonała , doskonała , słaba
WAW_1_AUD_14 , Tak , Tak , Tak , dobra , średnia , średnia , doskonała
WAW_1_AUD_14 , Tak , Tak , Nie , doskonała , dobra , słaba , słaba
WAW_1_AUD_14 , Tak , Tak , Nie , zła , doskonała , słaba , zła
WAW_1_AUD_14 , Nie , Nie , Tak , doskonała , doskonała , dobra , doskonała
WAW_1_AUD_14 , Nie , Nie , Nie , średnia , słaba , średnia , zła
WAW_1_AUD_14 , Nie , Nie , Tak , doskonała , dobra , słaba , średnia
WAW_1_AUD_14 , Nie , Nie , Nie , zła , słaba , dobra , dobra
WAW_1_AUD_14 , Tak , Nie , Nie , słaba , doskonała , zła , średnia
WAW_1_AUD_14 , Tak , Tak , Nie , średnia , zła , doskonała , doskonała
WAW_1_AUD_14 , Tak , Nie , Tak , dobra , słaba , zła , doskonała
WAW_1_AUD_14 , Tak , Nie , Tak , średnia , średnia , doskonała , słaba
WAW_1_AUD_14 , Tak , Nie , Tak , doskonała , zła , doskonała , słaba
WAW_1_AUD_14 , Tak , Tak , Nie , zła , doskonała , doskonała , zła
WAW_1_AUD_14 , Nie , Tak , Tak , słaba , doskonała , doskonała , średnia
WAW_1_AUD_14 , Tak , Tak , Tak , słaba , słaba , doskonała , dobra
WAW_1_AUD_14 , Nie , Tak , Tak , średnia , słaba , zła , słaba
WAW_1_AUD_14 , Tak , Tak , Nie , średnia , doskonała , doskonała , zła
WAW_1_AUD_14 , Nie , Tak , Nie , doskonała , słaba , zła , dobra
WAW_1_AUD_14 , Tak , Tak , Nie , średnia , słaba , doskonała , doskonała
WAW_1_AUD_14 , Nie , Nie , Tak , zła , zła , średnia , doskonała
WAW_1_AUD_14 , Nie , Tak , Nie , zła , doskonała , zła , dobra
WAW_1_AUD_14 , Tak , Tak , Tak , dobra , doskonała , dobra , dobra
WAW_1_AUD_14 , Nie , Nie , Tak , średnia , średnia , doskonała , słaba
